repo,file,line,context
omnibase_compat,/Users/jonah/Code/omni_home/omnibase_compat/contracts/OMN-8038.yaml,46,        check_value: "contracts/OMN-8038.yaml"
omnibase_compat,/Users/jonah/Code/omni_home/omnibase_compat/contracts/OMN-8368.yaml,48,        check_value: "contracts/OMN-8368.yaml"
omnibase_compat,/Users/jonah/Code/omni_home/omnibase_compat/contracts/OMN-9344.yaml,31,        check_value: "contracts/OMN-9344.yaml"
omnibase_core,/Users/jonah/Code/omni_home/omnibase_core/tests/validation/test_zone_classifier.py,48,    assert classify_path(Path("contracts/OMN-10411.yaml")) == EnumFileZone.DOCS
omnibase_core,/Users/jonah/Code/omni_home/omnibase_core/tests/unit/models/ticket/test_model_ticket_contract_merged.py,389,                check_value: "contracts/OMN-6238.yaml"
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-1419.yaml,35,        check_value: 'test -f contracts/OMN-1419.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9410.yaml,35,        check_value: 'test -f contracts/OMN-9410.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9637.yaml,27,        check_value: 'test -f contracts/OMN-9637.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10081.yaml,31,        check_value: 'test -f contracts/OMN-10081.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9550.yaml,37,        check_value: 'test -f contracts/OMN-9550.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9629.yaml,28,        check_value: 'test -f contracts/OMN-9629.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9557.yaml,37,        check_value: 'test -f contracts/OMN-9557.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10089.yaml,28,        check_value: "test -f contracts/OMN-10089.yaml"
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9620.yaml,28,        check_value: 'test -f contracts/OMN-9620.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10500.yaml,15,    command: "uv run validate-yaml contracts/OMN-10500.yaml"
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10500.yaml,35,        check_value: "uv run validate-yaml contracts/OMN-10500.yaml"
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9600.yaml,38,        check_value: 'test -f contracts/OMN-9600.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10453.yaml,21,    command: uv run validate-yaml contracts/OMN-10453.yaml
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10453.yaml,47,        check_value: 'uv run validate-yaml contracts/OMN-10453.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9556.yaml,34,        check_value: 'test -f contracts/OMN-9556.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-9420.yaml,35,        check_value: 'test -f contracts/OMN-9420.yaml'
omnibase_infra,/Users/jonah/Code/omni_home/omnibase_infra/contracts/OMN-10048.yaml,3,# (contracts/OMN-10048.yaml in OnniNode-ai/onex_change_control).
