file,line,kind,key,has_default,default_value,context
src/omnimarket/adapters/asyncpg_adapter.py,22,os.environ.get,DB_URL_ENV,true,'',"self._dsn = dsn or os.environ.get(DB_URL_ENV, """")"
src/omnimarket/adapters/codex/runtime_client.py,94,os.environ.get,ONEX_TARGET_RUNTIME_ADDRESS,false,,"value = os.environ.get(""ONEX_TARGET_RUNTIME_ADDRESS"")"
src/omnimarket/adapters/codex/runtime_client.py,79,os.environ.get,ONEX_PATTERN_B_COMMAND_TOPIC,true,_DEFAULT_COMMAND_TOPIC,"return str(os.environ.get(""ONEX_PATTERN_B_COMMAND_TOPIC"", _DEFAULT_COMMAND_TOPIC))"
src/omnimarket/adapters/codex/runtime_client.py,84,os.environ.get,ONEX_PATTERN_B_RESPONSE_TOPIC,true,_DEFAULT_RESPONSE_TOPIC,"return str(os.environ.get(""ONEX_PATTERN_B_RESPONSE_TOPIC"", _DEFAULT_RESPONSE_TOPIC))"
src/omnimarket/adapters/codex/runtime_client.py,89,os.environ.get,ONEX_PATTERN_B_REQUESTER,true,_DEFAULT_REQUESTER,"return str(os.environ.get(""ONEX_PATTERN_B_REQUESTER"", _DEFAULT_REQUESTER))"
src/omnimarket/cli/cli_ab_compare_suite.py,344,os.environ.get,LLM_GLM_URL,true,'',"base_url = os.environ.get(""LLM_GLM_URL"", """").strip()"
src/omnimarket/cli/cli_ab_compare_suite.py,345,os.environ.get,LLM_GLM_API_KEY,true,'',"api_key = os.environ.get(""LLM_GLM_API_KEY"", """").strip()"
src/omnimarket/cli/cli_ab_compare_suite.py,346,os.environ.get,LLM_GLM_MODEL_NAME,true,'glm-4.5',"model_name = os.environ.get(""LLM_GLM_MODEL_NAME"", ""glm-4.5"").strip() or ""glm-4.5"""
src/omnimarket/cli/cli_delegation_cost_demo.py,122,os.environ.get,OMNI_HOME,false,,"omni_home = os.environ.get(""OMNI_HOME"")"
src/omnimarket/cli/cli_delegation_cost_demo.py,216,os.environ.get,env_name,true,'',"env_value = os.environ.get(env_name, """").strip() if env_name else """""
src/omnimarket/experiments/adk_eval/harness/__main__.py,32,os.environ.get,OMNI_HOME,true,str(Path.home() / 'Code' / 'omni_home'),"omni_home = os.environ.get(""OMNI_HOME"", str(Path.home() / ""Code"" / ""omni_home""))"
src/omnimarket/experiments/adk_eval/track_a_adk/app/agent.py,21,os.environ[],GOOGLE_GENAI_USE_VERTEXAI,false,,"os.environ[""GOOGLE_GENAI_USE_VERTEXAI""] = ""False"""
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,29,os.environ.get,LOGS_BUCKET_NAME,false,,"raw_bucket = os.environ.get(""LOGS_BUCKET_NAME"")"
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,43,os.environ[],OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT,false,,"os.environ[""OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT""] = ""NO_CONTENT"""
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,49,os.environ.get,COMMIT_SHA,true,'dev',"commit_sha = os.environ.get(""COMMIT_SHA"", ""dev"")"
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,54,os.environ.get,GENAI_TELEMETRY_PATH,true,'completions',"path = os.environ.get(""GENAI_TELEMETRY_PATH"", ""completions"").strip(""/"")"
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,35,os.environ.get,OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT,true,'false',"os.environ.get(""OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT"", ""false"")"
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,34,os.environ.get,LOGS_BUCKET_NAME,false,,"logs_bucket_name = os.environ.get(""LOGS_BUCKET_NAME"")"
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,30,os.getenv,ALLOW_ORIGINS,false,,"os.getenv(""ALLOW_ORIGINS"", """").split("","") if os.getenv(""ALLOW_ORIGINS"") else None"
src/omnimarket/experiments/adk_eval/track_a_adk/app/fast_api_app.py,30,os.getenv,ALLOW_ORIGINS,true,'',"os.getenv(""ALLOW_ORIGINS"", """").split("","") if os.getenv(""ALLOW_ORIGINS"") else None"
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_agent_shape.py,19,os.environ[],GOOGLE_GENAI_USE_VERTEXAI,false,,"os.environ[""GOOGLE_GENAI_USE_VERTEXAI""] = ""False"""
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_agent_shape.py,46,os.environ.get,GOOGLE_GENAI_USE_VERTEXAI,false,,"assert os.environ.get(""GOOGLE_GENAI_USE_VERTEXAI"") == ""False"""
src/omnimarket/experiments/adk_eval/track_a_adk/tests/unit/test_dummy.py,25,os.environ[],GOOGLE_GENAI_USE_VERTEXAI,false,,"os.environ[""GOOGLE_GENAI_USE_VERTEXAI""] = ""False"""
src/omnimarket/experiments/adk_eval/type_debt_scout_poc/handler_type_debt_scout.py,327,os.environ.get,LLM_CODER_URL,true,_DEFAULT_BASE_URL,"return os.environ.get(""LLM_CODER_URL"", _DEFAULT_BASE_URL)"
src/omnimarket/github_api.py,29,os.environ.get,GH_PAT,true,'',"token = os.environ.get(""GH_PAT"", """")"
src/omnimarket/inference/bridge_config_loader.py,100,os.environ.get,model_env,true,default_model_id,"""model_id"": os.environ.get(model_env, default_model_id),"
src/omnimarket/inference/bridge_config_loader.py,94,os.environ.get,url_env,true,'',"base_url = os.environ.get(url_env, """").strip()"
src/omnimarket/inference/bridge_config_loader.py,107,os.environ.get,LLM_GLM_API_KEY,true,'',"api_key = os.environ.get(""LLM_GLM_API_KEY"", """").strip()"
src/omnimarket/market_skill_baseline.py,35,os.environ.get,OMNI_HOME,false,,"env_home = os.environ.get(""OMNI_HOME"")"
src/omnimarket/market_skill_baseline.py,609,os.environ.get,PATH,true,'',"""PATH"": f""{gh_path.parent}{os.pathsep}{os.environ.get('PATH', '')}"","
src/omnimarket/market_skill_baseline.py,738,os.environ.get,PATH,true,'',"env={""PATH"": f""{gh_path.parent}{os.pathsep}{os.environ.get('PATH', '')}""},"
src/omnimarket/market_skill_baseline.py,684,os.environ.get,PATH,true,'',"""PATH"": f""{bin_dir}{os.pathsep}{os.environ.get('PATH', '')}"","
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,84,os.environ.get,requires_key,false,,api_key = os.environ.get(requires_key)
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,99,os.environ.get,endpoint_env,false,,endpoint_override = os.environ.get(endpoint_env) if endpoint_env else None
src/omnimarket/nodes/node_ab_compare_orchestrator/handlers/handler_ab_compare_orchestrator.py,110,os.environ.get,model_id_env,false,,model_id_override = os.environ.get(model_id_env) if model_id_env else None
src/omnimarket/nodes/node_ab_inference_effect/handlers/handler_ab_inference_effect.py,316,os.environ.get,name,true,'',"for value in (os.environ.get(name, """") for name in _ENDPOINT_ALLOWLIST_ENVS)"
src/omnimarket/nodes/node_aislop_sweep/__main__.py,66,os.environ.get,OMNI_HOME,true,'/Volumes/PRO-G40/Code/omni_home',"omni_home = os.environ.get(""OMNI_HOME"", ""/Volumes/PRO-G40/Code/omni_home"")"
src/omnimarket/nodes/node_authorize/handlers/handler_authorize.py,76,os.environ.get,ONEX_STATE_DIR,false,,"state_dir = os.environ.get(""ONEX_STATE_DIR"")"
src/omnimarket/nodes/node_baseline_capture/handlers/handler_baseline_capture.py,41,os.environ[],OMNI_HOME,false,,"return os.environ[""OMNI_HOME""]"
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_db_row_counts.py,42,os.environ.get,OMNIBASE_INFRA_DB_URL,true,'',"db_url = os.environ.get(""OMNIBASE_INFRA_DB_URL"", """")"
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_kafka_topics.py,33,os.environ.get,REDPANDA_ADMIN_HOST,true,'192.168.86.201',"admin_host = os.environ.get(""REDPANDA_ADMIN_HOST"", ""192.168.86.201"")"
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_kafka_topics.py,34,os.environ.get,REDPANDA_ADMIN_PORT,true,'9644',"admin_port = os.environ.get(""REDPANDA_ADMIN_PORT"", ""9644"")"
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_linear_tickets.py,49,os.environ.get,LINEAR_API_KEY,true,'',"api_key = os.environ.get(""LINEAR_API_KEY"", """")"
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,24,os.environ.get,POSTGRES_HOST,true,'192.168.86.201',"f""http://{os.environ.get('POSTGRES_HOST', '192.168.86.201')}:{os.environ.get('POSTGRES_PORT', '5436')}"","
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,24,os.environ.get,POSTGRES_PORT,true,'5436',"f""http://{os.environ.get('POSTGRES_HOST', '192.168.86.201')}:{os.environ.get('POSTGRES_PORT', '5436')}"","
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,30,os.environ.get,QDRANT_HOST,true,'192.168.86.201',"f""http://{os.environ.get('QDRANT_HOST', '192.168.86.201')}:{os.environ.get('QDRANT_PORT', '6333')}/healthz"","
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,30,os.environ.get,QDRANT_PORT,true,'6333',"f""http://{os.environ.get('QDRANT_HOST', '192.168.86.201')}:{os.environ.get('QDRANT_PORT', '6333')}/healthz"","
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,34,os.environ.get,LLM_CODER_URL,true,'http://192.168.86.201:8000',"f""{os.environ.get('LLM_CODER_URL', 'http://192.168.86.201:8000')}/health"","
src/omnimarket/nodes/node_baseline_capture/handlers/probes/probe_system_health.py,38,os.environ.get,LLM_CODER_FAST_URL,true,'http://192.168.86.201:8001',"f""{os.environ.get('LLM_CODER_FAST_URL', 'http://192.168.86.201:8001')}/health"","
