node_name,node_type,has_metadata_transport_type,metadata_transport_type,declared_dependencies,declared_config_env_vars,publish_topics_count,subscribe_topics_count,handler_transports_detected,classification,classification_reason
node_ab_compare_orchestrator,orchestrator,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_ab_compare_reducer,reducer,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_ab_inference_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_agent_coordinator_orchestrator,ORCHESTRATOR,true,kafka,AdapterValkey|HandlerDb|HandlerKafka|HandlerSubscription|ProtocolSubscriptionManager,,0,0,,config_required,"handler_transports=[], declared_dep_transports=['kafka', 'postgres', 'valkey'], config_env_vars=0, publish=0, subscribe=0"
node_agent_learning_retrieval_effect,EFFECT,true,kafka,ProtocolEmbeddingClient|qdrant,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_aislop_sweep,compute,true,kafka,,,3,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=3, subscribe=1"
node_audit_trail_compactor,compute,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_authorize,effect,true,kafka,,,2,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=2, subscribe=1"
node_auto_merge_effect,effect,true,kafka,,,1,1,,config_required,"handler_transports=[], declared_dep_transports=[], config_env_vars=0, publish=1, subscribe=1"
node_autopilot_orchestrator,orchestrator,false,,,,6,1,kafka|valkey,needs_review,handler uses ['valkey'] but contract dependencies[] does not declare it
node_baseline_capture,compute,false,,,,1,1,postgres|valkey,needs_review,"handler uses ['postgres', 'valkey'] but contract dependencies[] does not declare it"
