file,line,pattern_type,key_or_value,default_value,severity
src/omnimarket/adapters/asyncpg_adapter.py,22,env_var,DB_URL_ENV,'',
src/omnimarket/adapters/codex/runtime_client.py,94,env_var,ONEX_TARGET_RUNTIME_ADDRESS,,S1
src/omnimarket/adapters/codex/runtime_client.py,79,env_var,ONEX_PATTERN_B_COMMAND_TOPIC,_DEFAULT_COMMAND_TOPIC,
src/omnimarket/adapters/codex/runtime_client.py,84,env_var,ONEX_PATTERN_B_RESPONSE_TOPIC,_DEFAULT_RESPONSE_TOPIC,
src/omnimarket/adapters/codex/runtime_client.py,89,env_var,ONEX_PATTERN_B_REQUESTER,_DEFAULT_REQUESTER,
src/omnimarket/cli/cli_ab_compare_suite.py,344,env_var,LLM_GLM_URL,'',
src/omnimarket/cli/cli_ab_compare_suite.py,345,env_var,LLM_GLM_API_KEY,'',
src/omnimarket/cli/cli_ab_compare_suite.py,346,env_var,LLM_GLM_MODEL_NAME,'glm-4.5',
src/omnimarket/cli/cli_delegation_cost_demo.py,122,env_var,OMNI_HOME,,S1
src/omnimarket/cli/cli_delegation_cost_demo.py,216,env_var,env_name,'',
src/omnimarket/experiments/adk_eval/harness/__main__.py,32,env_var,OMNI_HOME,str(Path.home() / 'Code' / 'omni_home'),S2
src/omnimarket/experiments/adk_eval/harness/aggregator.py,98,model_id,Qwen3-Coder-30B ({track_b_metrics[,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/agent.py,21,env_var,GOOGLE_GENAI_USE_VERTEXAI,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,29,env_var,LOGS_BUCKET_NAME,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,43,env_var,OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT,,S1
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,49,env_var,COMMIT_SHA,'dev',
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,54,env_var,GENAI_TELEMETRY_PATH,'completions',
src/omnimarket/experiments/adk_eval/track_a_adk/app/app_utils/telemetry.py,35,env_var,OTEL_INSTRUMENTATION_GENAI_CAPTURE_MESSAGE_CONTENT,'false',
